,matched_words,match_distance,words_frequency,time_sec
I,,,,1.6582064628601074
a,,,,1.6582064628601074
an,,,,1.6582064628601074
and,,,,1.6582064628601074
apple,"{'apoel', 'papel'}","{3.736, 4.7146}","[4716.0, 10.0]",1.6582064628601074
banana,"{'bandana', 'nana'}","{5.6122, 6.0831}","[919.0, 14.0]",1.6582064628601074
don't,,,,1.6582064628601074
error,{'error'},{4.2706},[268.0],1.6582064628601074
have,,,,1.6582064628601074
hope,,,,1.6582064628601074
i,,,,1.6582064628601074
if,,,,1.6582064628601074
in,,,,1.6582064628601074
jerusalem,"{'jerisheh', 'jerusalem'}","{5.5064, 5.3275}","[24.0, 24.0]",1.6582064628601074
lemon,"{'leone', 'lermond'}","{4.3394, 4.8598}","[16.0, 16.0]",1.6582064628601074
london,{'london'},"{3.8871, 6.459}",[16.0],1.6582064628601074
or,,,,1.6582064628601074
pear,"{'parker', 'parameter'}","{3.4475, 4.5089}","[10.0, 10.0]",1.6582064628601074
please,{'settles'},{5.0393},[17.0],1.6582064628601074
possible,"{'polish–lithuanian', 'pose'}","{7.2001, 7.0756}","[10.0, 10.0]",1.6582064628601074
wanna,"{'hanna', 'hyena'}","{7.3082, 7.2827}","[88.0, 88.0]",1.6582064628601074
watermelon,"{'qara', 'warned'}","{7.632, 7.5992}","[8.0, 3.0]",1.6582064628601074
with,,,,1.6582064628601074
